NO,都道府県コード又は市区町村コード,名称,名称(カナ),名称(英字),名称(通称),サブタイトル,概要,説明,サブイベント,イベント種類,URL,画像URL,状態,対象となる産業,ステージ,開始日,終了日,開始時刻,終了時刻,日時備考,場所名称,集合場所,郵便番号,住所都道府県,住所市区町村,住所町名,住所丁目以下,建物名等,緯度,経度,主催団体,共催団体,その他関係団体,対象者,定員,料金(基本),料金(詳細),外国語対応,申込期限日,申込期限時刻,申込方法,アクセス方法,駐車場情報,駐輪場情報,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,備考
0000000001,,幌加内町ウェルカム赤ちゃん事業,,,,,,出産に祝意を表するとともに、乳児の健やかな成長を祈念し、子育てに利用する物品(木製カップ)を乳児1人つき、1個支給する。,,子育て・教育,https://www.rinya.maff.go.jp/j/riyou/kidukai/event/Jan2022.html,,,,,2021-10-01,2022-03-31,,,,,事業対象者自宅　(北海道幌加内町内),,北海道,幌加内町,,,,,,幌加内町,,,,,,,,,,,,,,幌加内町　保健福祉課しあわせ福祉係,(0165)35-3090,,,
0000000002,,木工教室,,,,,,巣箱・餌台、ブックスタンド、丸テーブル等の木工作品の作成,,生活と環境,http://kenminnomori.com/,,,,,,,,,毎月1回,,森林ふれあい学習館　フォレストアイ,,岩手県,八幡平市,松尾寄木地内,,,,,岩手県　県民の森,,,,,,,,,,,,,,岩手県　県民の森　(森林ふれあい学習館　フォレストアイ),(0195)78-2092,,,毎月一回
0000000003,,つどいの森木工教室,,,,,,県産材を使用した木工教室を開催。,,生活と環境,https://www.rinya.maff.go.jp/j/riyou/kidukai/event/Jan2022.html,,,,,,,,,毎月1回,,盛岡市都南つどいの森,,岩手県,盛岡市,湯沢,1-88,,,,公益財団法人盛岡市都南自治振興公社,,,,,,,,,,,,,,盛岡市都南つどいの森,(019)638-2270,,,毎月
0000000004,,LetsGo!木育ひろば,,,,,,木のおもちゃに触れ、子どもから高齢者、障害者等、幅広い地域住民が参画することによって、教育活動や地域学校協働活動の充実、世代間交流を図る。,,子育て・教育,https://www.rinya.maff.go.jp/j/riyou/kidukai/event/Jan2022.html,,,,,2021-10-01,2022-03-01,,,,,介護老人保健施設、保育園、学校等,,秋田県,大館市,,,,,,大館市,,,,,,,,,,,,,,,(0186)43-7113,,,
0000000005,,木工教室,,,,,,木材に関する知識の普及向上を図り、木に対する認識を深めることを目的に、毎年3月を除いて開催。市民の方を対象に、初めての方でも実用的な木工品を1日で製作できる。,,生活と環境,https://kino-gakkou.com/,,,,,2021-10-01,2022-02-01,,,,,能代市木の学校,,秋田県,能代市,,,,,,能代木材産業連合会,,,,,,,,,,,,,,,(0185)52-5249,,,
0000000006,,由利本荘木の仕事びと木工ワークショップ2021,,,,,,毎月1回(1日)、地域の木工職人による木工体験教室(ワークショップ)や美術館スタッフによる木工室を使ったワークショップを開催。,,生活と環境,http://chokaisan-wtm.jp/,,,,,2022-03-26,2022-03-26,,,,,鳥海山木のおもちゃ美術館,,秋田県,由利本荘市,,,,,,特定非営利活動法人由利本荘木育推進協会,,,,,,,,,,,,,,特定非営利活動法人由利本荘木育推進協会,(0184)74-9070,,,
0000000007,,「森へ行こうよ」自然環境学習事業,,,,,,地元の森林など、身近な自然とそこから得られる自然の恵みを教材とした自然環境学習。　※フィールドビンゴ(自然あそび)　※木工クラフト,,生活と環境,http://www.city.nanyo.yamagata.jp/index.html,,,,,,2022-01-31,,,,,市内保育施設及び学童施設　飯豊少年自然の家(山形県南陽市内　山形県西置賜郡飯豊町),,山形県,南陽市,,,,,,南陽市農林課,,,,,,,,,,,,,,南陽市農林課(農林課林務係　),(0238)40-8320,,,
0000000008,,やないづ手作り市,,,,,,奥会津の作り手(ハンドメイドや木工品など)の発表の場の提供と地域活性化を目指したイベント。,,生活と環境,https://mokouboumeguro.com/,,,,,2021-10-01,2022-03-31,,,,,赤べこ通り商店街駐車場(福島県柳津町),,福島県,柳津町,,,,,,やないづ手作り市実行委員会,,,,,,,,,,,,,,木工房MEGURO,(090)5234-2314,,,
0000000009,,文化伝承事業(夜間木工教室),,,,,,生活工芸品の文化や制作技術を町民に継承する。対象*三島町民,,生活と環境,https://www.rinya.maff.go.jp/j/riyou/kidukai/event/Jan2022.html,,,,,2021-12-01,2022-03-01,,,,,三島町生活工芸館,,福島県,三島町,,,,,,三島町,,,,,,,,,,,,,,三島町,(0241)48-5566,,,
0000000010,,親子木工教室,,,,,,市内幼稚園(こども園、保育園)に通う園児親子を対象とした木工教室の開催。,,子育て・教育,https://www.rinya.maff.go.jp/j/riyou/kidukai/event/Jan2022.html,,,,,2021-10-01,2022-02-01,,,,,足利市内幼稚園等,,栃木県,足利市,,,,,,,,,,,,,,,,,,,,足利市農林整備課,(0284)20-2163,,,
