NO,都道府県コード又は市区町村コード,名称,名称(カナ),名称(英字),名称(通称),サブタイトル,概要,説明,サブイベント,イベント種類,URL,画像URL,状態,対象となる産業,ステージ,開始日,終了日,開始時刻,終了時刻,日時備考,場所名称,集合場所,郵便番号,住所都道府県,住所市区町村,住所町名,住所丁目以下,建物名等,緯度,経度,主催団体,共催団体,その他関係団体,対象者,定員,料金(基本),料金(詳細),外国語対応,申込期限日,申込期限時刻,申込方法,アクセス方法,駐車場情報,駐輪場情報,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,備考
0600000001,,御所ダム 雫石川園地桜並木一部ライトアップ,,,,,,雫石川園地桜並木一部ライトアップ,,催事・観光,http://shizukuishi- kanko.gr.jp/index.html,,,,,,,,,令和4年4月下旬,,御所ダム,,岩手県,盛岡市,,,,,,一般社団法人しずくいし観光協会,,,,,,,,,,,,,,,(019)692-5138,,,
0600000002,,浅瀬石川ダム 冬のライトアップ,,,,,,冬のライトアップ,,催事・観光,http://www.thr.mlit.go.jp/iwakito/,,,,,,,,,令和4年2月,,浅瀬石川ダム,,青森県,黒石市,,,,,,岩木川ダム統合管理事務所,,,,,,,,,,,,,,浅瀬石川ダム管理支所　管理第一係,(0172)54-8782,,,
0600000003,,浅瀬石川ダム クレストゲートからの試験放流及び春のライトアップ,,,,,,クレストゲートからの試験放流及び春のライトアップ,,催事・観光,http://www.thr.mlit.go.jp/iwakito/,,,,,,,,,令和4年4月下旬,,浅瀬石川ダム,,青森県,黒石市,,,,,,岩木川ダム統合管理事務所,,,,,,,,,,,,,,浅瀬石川ダム管理支所　管理第一係,(0172)54-8782,,,
0600000004,,津軽ダム 冬のライトアップ,,,,,,冬のライトアップ,,催事・観光,http://www.thr.mlit.go.jp/iwakito/,,,,,,,,,令和4年2月,,津軽ダム,,青森県,西目屋村,,,,,,岩木川ダム統合管理事務所,,,,,,,,,,,,,,岩木川ダム統合管理事務所　調査課,(0172)85-3035,,,
0600000005,,津軽ダム 春のライトアップ,,,,,,春のライトアップ,,催事・観光,http://www.thr.mlit.go.jp/iwakito/,,,,,,,,,令和4年4月下旬,,津軽ダム,,青森県,西目屋村,,,,,,岩木川ダム統合管理事務所,,,,,,,,,,,,,,岩木川ダム統合管理事務所　調査課,(0172)85-3035,,,
0600000006,,五十里ダム 環境放流の見学,,,,,,五十里ダム環境放流の見学,,生活と環境,https://www.ktr.mlit.go.jp/kinudamu/,,,,,,,,,"令和4年3月~令和4年11月
毎月第3金曜日
(未確定)",,五十里ダム,,栃木県,日光市,,,,,,鬼怒川ダム統合管理事務所,,,,,,,,,,,,,,鬼怒川ダム統合管理事務所　調査課,(028)661-7764,,,
0600000007,,長柄ダムさくらまつり2022,,,,,,"模型・パネル展示、スタンプラリー、取水塔解放、地元特産品販売
※【千葉和太鼓まつり】同時開催",,催事・観光,https://www.town.nagara.chiba.jp/,,,,,,,,,令和4年3月下旬,,長柄ダム,,千葉県,長柄町,,,,,,長柄ダム桜まつり実行委員会,,,,,,,,,,,,,,長柄町役場　産業振興課,(0475)35-4447,,,
0600000008,,横川ダム わかさぎ釣り体験,,,,,,白い森おぐに湖でわかさぎ釣りを実施します。釣り竿、仕掛け、エサ等は無料で貸し出しを予定していますが、漁協権の購入が必要となります。,,催事・観光,https://www.hrr.mlit.go.jp/uetsu/contents/dam/yokokawa/index.html,,,,,,,,,令和4年2月,,横川ダム,,山形県,小国町,,,,,,横川ダム水源地域ビジョン推進会,,,,,,,,,,,,,,小国わかさぎ会,,,,
0600000009,,青蓮寺ダム 【名張青蓮寺湖駅伝大会】,,,,,,青蓮寺湖での駅伝大会,,健康・福祉、スポーツ,https://www.mlit.go.jp/river/dam/tourism/event30.pdf,,,,,,,,,令和4年2月頃,,青蓮寺ダム,,三重県,名張市,,,,,,名張市,,,,,,,,,,,,,,名張市スポーツ協会,(0595)62-4141,,,
0600000010,,狭山池ダム 【狭山池 池底&博物館ツアー】,,,,,,"池干し中の狭山池に入り、池底から堤防を見上げてもらう。
狭山池に隣接する狭山池博物館も見学してもらう。",,催事・観光,https://sayamaikehaku.osakasayama.osaka.jp/?p=3252,,,,,2022-02-11,,,,,,狭山池ダム,,大阪府,大阪狭山市,,,,,,大阪府立狭山池博物館・大阪狭山市立郷土資料館　協働運営委員会,,,,,,,,,,,,,,狭山池博物館　ボランティア事務局,(072)367-8891,,,
