NO,都道府県コード又は市区町村コード,名称,名称(カナ),名称(英字),名称(通称),サブタイトル,概要,説明,サブイベント,イベント種類,URL,画像URL,状態,対象となる産業,ステージ,開始日,終了日,開始時刻,終了時刻,日時備考,場所名称,集合場所,郵便番号,住所都道府県,住所市区町村,住所町名,住所丁目以下,建物名等,緯度,経度,主催団体,共催団体,その他関係団体,対象者,定員,料金(基本),料金(詳細),外国語対応,申込期限日,申込期限時刻,申込方法,アクセス方法,駐車場情報,駐輪場情報,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,備考
,131199,地域デビューセミナー(防災編),チイキデビューセミナー(ボウサイヘン),,,,,地域活動について興味のある方・はじめてみたいと考えている方を対象とした講座です。今回は、気象災害を軽減するため(特に命を守るため)気象情報の活用方法を知ることや、災害が起こったときに立ち上がる災害ボランティアセンターについて知ることで、地域での防災・減災を学んでいきます。	気象情報の活用について　講師:東京管区気象台職員	災害ボランティアについて　講師:いたばし総合ボランティアセンター職員,,セミナー,/1000779/1000799/1000800/1031284.html,,,,,2021-03-10,2021-03-10,14:00,16:00,,,文化会館小ホール,,東京都,板橋区,,,,,,,,,,,,,,,,,,,,,,,,
,131199,卒乳講座,ソツニュウコウザ,,,,,1歳6か月までのお子さんを子育て中で、卒乳を始めようとしている方や、卒乳を始めたけれどなかなか上手くいかない方を対象に助産師や管理栄養士、歯科衛生士が講義をおこないます	　お子さんと一緒に受講していただきます(お子さんの一時預かりはいたしません)	　講義時間は一時間程度です,,セミナー,/1000779/1000809/1000817/1030932.html,,,,,2021-03-05,2021-03-05,09:30,10:30,,,,,東京都,板橋区,,,,,,,,,,,,,,2021-03-04,,,,,,,,,,
,131199,卒乳講座,ソツニュウコウザ,,,,,1歳6か月までのお子さんを子育て中で、卒乳を始めようとしている方や、卒乳を始めたけれどなかなか上手くいかない方を対象に助産師や管理栄養士、歯科衛生士が講義をおこないます	　お子さんと一緒に受講していただきます(お子さんの一時預かりはいたしません)	　講義時間は一時間程度です,,セミナー,/1000779/1000809/1000817/1030932.html,,,,,2021-03-05,2021-03-05,10:15,11:15,,,,,東京都,板橋区,,,,,,,,,,,,,,2021-03-04,,,,,,,,,,
,131199,卒乳講座,ソツニュウコウザ,,,,,1歳6か月までのお子さんを子育て中で、卒乳を始めようとしている方や、卒乳を始めたけれどなかなか上手くいかない方を対象に助産師や管理栄養士、歯科衛生士が講義をおこないます	　お子さんと一緒に受講していただきます(お子さんの一時預かりはいたしません)	　講義時間は一時間程度です,,セミナー,/1000779/1000809/1000817/1030932.html,,,,,2021-03-05,2021-03-05,11:00,12:00,,,,,東京都,板橋区,,,,,,,,,,,,,,2021-03-04,,,,,,,,,,
,131199,令和2年度 働くことと育児を考える講座 参加者募集,レイワニネンド ハタラクコトトイクジヲカンガエルコウザ サンカシャボシュウ,,,,,第1回『情報との付き合い方』と『コロナに対する受け止め方の違い』:ストレスの原因を見てみよう第2回『自分軸』をもちながら子育てするには:『自分軸』『他人軸』を意識し、気持ちにゆとりをつくろう&nbsp;生後4か月以上の未就学児の保育あり(定員8人、申込順),,セミナー,/1000779/1000922/1000927/1030901.html,,,,,2021-02-26,2021-02-26,10:00,12:00,,,まなぽーと大原,,東京都,板橋区,,,,,,,,,,,,,,2021-02-19,,,,,,,,,,
,131199,令和2年度 働くことと育児を考える講座 参加者募集,レイワニネンド ハタラクコトトイクジヲカンガエルコウザ サンカシャボシュウ,,,,,第1回『情報との付き合い方』と『コロナに対する受け止め方の違い』:ストレスの原因を見てみよう第2回『自分軸』をもちながら子育てするには:『自分軸』『他人軸』を意識し、気持ちにゆとりをつくろう&nbsp;生後4か月以上の未就学児の保育あり(定員8人、申込順),,セミナー,/1000779/1000922/1000927/1030901.html,,,,,2021-03-05,2021-03-05,10:00,12:00,,,まなぽーと大原,,東京都,板橋区,,,,,,,,,,,,,,2021-02-19,,,,,,,,,,
,131199,<好き>を語るお茶会,スキヲカタルオチャカイ,,,,,なんとなく友達に話しづらいこと、親には言えないこと、ちょっと気になるだけのこと……おしゃべりしてみませんか?今回のテーマは「好きな人」〈好き〉を語るお茶会は、安心して「好き」を語れる場です。あなたの「好き」について語ってみませんか?聞いているだけでもOK!ぜひご参加ください。,,生活と環境,/1000779/1000922/1000927/1027910.html,,,,,2020-11-14,2020-11-14,15:00,17:00,,,まなぽーと成増 i-youthカフェ,,東京都,板橋区,,,,,,,,,,,,,,2020-11-14,,,,,,,,,,
,131199,【中止】いたばしボランティア・市民活動フォーラム,【チュウシ】イタバシボランティア・シミンカツドウフォーラム,,,,,地域に暮らす様々な教育、文化的背景、制度の違いをこえて、相互に理解しあうことから多文化共生社会の実現への第一歩が始まる。そこで、身近な地域に住むアフリカの留学生との交流により、「つどう・まなぶ・むすび」を始めみませんか。会場:まなぽーと大原(大原生涯学習センター)レクレーションホール講師:帝京大学大学院公衆衛生学研究科教授 山本秀樹SDGsネットワークいたばし代表 加藤勉特定非営利法人ボランティア・市民活動学習推進センター理事長 廣瀬カズ子対象:どなたでも定員:60名,,健康・福祉、スポーツ,/1000779/1000922/1000927/1021892.html,,,,,2020-04-18,2020-04-18,17:30,19:30,"4月18日(土曜日)午後5時30分から7時30分・4月19日(日曜日)午前9時から10時
開始日: 2020/4/18
終了日: 2020/4/18",,,,東京都,板橋区,,,,,,,,,,,,,,,,,,,,,,,,
,131199,【中止】いたばしボランティア・市民活動フォーラム,【チュウシ】イタバシボランティア・シミンカツドウフォーラム,,,,,地域に暮らす様々な教育、文化的背景、制度の違いをこえて、相互に理解しあうことから多文化共生社会の実現への第一歩が始まる。そこで、身近な地域に住むアフリカの留学生との交流により、「つどう・まなぶ・むすび」を始めみませんか。会場:まなぽーと大原(大原生涯学習センター)レクレーションホール講師:帝京大学大学院公衆衛生学研究科教授 山本秀樹SDGsネットワークいたばし代表 加藤勉特定非営利法人ボランティア・市民活動学習推進センター理事長 廣瀬カズ子対象:どなたでも定員:60名,,健康・福祉、スポーツ,/1000779/1000922/1000927/1021892.html,,,,,2020-04-19,2020-04-19,09:00,10:00,"4月18日(土曜日)午後5時30分から7時30分・4月19日(日曜日)午前9時から10時
開始日: 2020/4/19
終了日: 2020/4/19
開始時刻: 9:00",,,,東京都,板橋区,,,,,,,,,,,,,,,,,,,,,,,,
,131199,「総合的な学習の時間」に関わる障がい者の社会参加を考える,「ソウゴウテキナガクシュウノジカン」ニカカワルショウガイシャノシャカイサンカヲカンガエル,,,,,基調講演　社会教育を学校などに繋げる意義について	事例発表　「総合的な学習の時間」に参加した私の学び	意見交換	総　評	　( 講師 創価大学名誉教授 木全 力夫 氏 ),,健康・福祉、スポーツ,/1000779/1000922/1000927/1023253.html,,,,,2020-07-05,2020-07-05,13:30,16:00,,,大原生涯学習センター 3階 まなぽーとホール,,東京都,板橋区,,,,,,,,,,,,,,,,,,,,,,,,
