NO,都道府県コード又は市区町村コード,名称,名称(カナ),名称(英字),名称(通称),サブタイトル,概要,説明,サブイベント,イベント種類,URL,画像URL,状態,対象となる産業,ステージ,開始日,終了日,開始時刻,終了時刻,日時備考,場所名称,集合場所,郵便番号,住所都道府県,住所市区町村,住所町名,住所丁目以下,建物名等,緯度,経度,主催団体,共催団体,その他関係団体,対象者,定員,料金(基本),料金(詳細),外国語対応,申込期限日,申込期限時刻,申込方法,アクセス方法,駐車場情報,駐輪場情報,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,備考
0000000036,132217,清瀬市立小学校連合作品展,,,,,,清瀬市立小学校児童の書初め作品・図工作品の展示を行います。,,文化・芸術,,,,,,2022-01-28,2022-02-03,09:00,16:00,,,新庁舎,,東京都,清瀬市,,,,,,,,,,,,,,,,,,,,教育指導課,,,,
0000000037,132217,命の教育フォーラム,,,,,,命の尊さをテーマとした講演会と児童・生徒による発表会を実施します。,,子育て・教育,,,,,,2022-01-29,2022-01-29,14:00,16:30,,,新庁舎またはアミューホール,,東京都,清瀬市,,,,,,,,,,,,,,,,,,,,教育指導課,,,,
0000000038,132217,出張申告受付,,,,,,"市職員が、市・都民税申告(給与・年金所得者の簡易な確定申告含む)の作成・相談を行います。
※受付時間・場所は変更する可能性があります。",,申請,,,,,,2022-02-01,2022-02-15,09:00,16:00,,,松山・野塩・竹丘・生涯学習各センター,,東京都,清瀬市,,,,,,,,,,,,,,,,,,,,課税課,,,,
0000000039,132217,申告受付,,,,,,"市職員が、市・都民税申告(給与・年金所得者の簡易な確定申告含む)の作成・相談を行います。
※受付時間・場所は変更する可能性があります。",,申請,,,,,,2022-02-16,2022-03-15,09:00,15:00,,,本庁舎2階　市民協働ルーム及び市民協働サロン,,東京都,清瀬市,,,,,,,,,,,,,,,,,,,,課税課,,,,
0000000040,132217,図書館読書交流会,,,,,,交流会で紹介する図書を通じ、市民への読書への興味を喚起し併せて参加者の交流を行います。,,催事・観光,,,,,,,,10:30,12:00,2022/2/1,,中央図書館,,東京都,清瀬市,,,,,,,,,,,,,,,,,,,,図書館,,,,
0000000041,132217,第16回なんでも発表会,,,,,,劇、演奏、ダンスなど、特技や日頃の練習の成果を披露したい方や団体を公募し、ころぽっくるホールで発表していただく、多世代の文化交流を目指した舞台発表会です。,,文化・芸術,,,,,,,,,,2022年3月中旬から下旬,,児童センター,,東京都,清瀬市,,,,,,,,,,,,,,,,,,,,生涯学習スポーツ課　児童青少年係,,,,
0000000001,132217,スマイルベビーきよせプレママプレパパ相談(個別)(12・1月分),,,,,,"助産師が母乳育児や出産へ向けてのご相談をお受けしています。お気軽にご参加ください。(予約制)

個別での開催になるので、ゆったりをお話ができます。ご希望により沐浴(水なし)や妊婦体験も実施しています。",,子育て・教育,https://www.city.kiyose.lg.jp/kosodatekyouiku/ninsinsyussan/ninsin/1005147/1009657.html,,,,,2022-01-24,2022-01-24,13:15,15:35,,,健康センター,,東京都,清瀬市,中里,5-842,,,,,,,,3,,,,,,"必要
11月15日より、電話で子育て支援課母子保健係へ",,,,子育て支援課母子保健係,(042)497-2077,,,
0000000002,132217,スマイルベビーきよせすくすく授乳相談(個別)(12・1月分),,,,,,"助産師へ授乳相談ができます。(予約制)

個別での開催になるので、ゆったりとご参加いただけます。",,子育て・教育,https://www.city.kiyose.lg.jp/kosodatekyouiku/kodomokyousitu/nyuuyoujikyousitu/1009658.html,,,,,2022-01-24,2022-01-24,13:15,15:35,,,健康センター,,東京都,清瀬市,中里,5-842,,,,,,,,3,0,,,,,"必要
11月15日より、電話で子育て支援課母子保健係へ",,,,子育て支援課母子保健係,(042)497-2077,,,
0000000003,132217,地元農産物の移動即売会(中里地域市民センター),,,,,,清瀬産の旬の野菜などを移動販売いたします。,,生活と環境,https://www.city.kiyose.lg.jp/sigotosangyou/chiikisinkou/1001170.html,,,,,2021-04-07,2022-03-30,10:00,10:30,"長期間イベント(期間中毎週水曜日開催)
開始日: 2021/4/7
終了日: 2022/3/30",,中里地域市民センター　正面入口付近,,東京都,清瀬市,中里,四丁目1301番地,,,,,,,,,,,,,,,,,,産業振興課産業振興係,(042)497-2052,,,
0000000004,132217,女性のためのピアサポート交流会 第3回 そんなに頑張らなくていいよ。みんなどうしてる?シングルママのお話し会,,,,,,ミニ講座・交流会,,子育て・教育,https://www.city.kiyose.lg.jp/siseijouhou/danjosankaku/1002903/1009782.html,,,,,2022-01-30,2022-01-30,10:00,12:00,,,アミュービル5階　きよせコワーキングスペースことりば,,東京都,清瀬市,,,,,,,,,,6,0,,,2022-01-28,,"必要
下記の関連リンク先(特設ページ)より12月15日(水曜日)からお申込み下さい。

保育が必要な方はご相談下さい。保育対象:生後6か月から就学前まで。先着6人。
申込期限日: 2022/1/28",清瀬駅北口徒歩2分,,,NPO法人ダイバーシティコミュ,(042)508-2650,,,
