NO,都道府県コード又は市区町村コード,名称,名称(カナ),名称(英字),名称(通称),サブタイトル,概要,説明,サブイベント,イベント種類,URL,画像URL,状態,対象となる産業,ステージ,開始日,終了日,開始時刻,終了時刻,日時備考,場所名称,集合場所,郵便番号,住所都道府県,住所市区町村,住所町名,住所丁目以下,建物名等,緯度,経度,主催団体,共催団体,その他関係団体,対象者,定員,料金(基本),料金(詳細),外国語対応,申込期限日,申込期限時刻,申込方法,アクセス方法,駐車場情報,駐輪場情報,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,備考
0000000023,131148,ロビー・ミニ展 「山﨑家の名品【後期】」,,,,,,旧江古田村名主家の山﨑家に伝わった絵画や書、茶道具や古伊万里などを展示します。,,文化・芸術,https://www.city.tokyo-nakano.lg.jp/dept/211500/d030190.html,,,,,2022-03-15,2022-04-30,,,"長期間イベント
開始日: 2022/3/15
終了日: 2022/4/30",,中野区立歴史民俗資料館,,東京都,中野区,江古田,四丁目3番4号,,,,,,,,,,,,,,,"西武新宿線「沼袋駅」北口から徒歩約8分
都営地下鉄大江戸線「新江古田駅」から徒歩約15分
JR「中野駅」北口から練馬駅行(京王バス中92系統　)「江古田二丁目」下車　徒歩2分
JR「中野駅」北口から江古田駅行(関東バス中41系統)「江古田二丁目」下車　徒歩2分　中12系統はとまりません
西武池袋線「練馬駅」北口から中野駅行(京王バス中92系統)「江古田四丁目」下車　徒歩5分",,,中野区立歴史民俗資料館,(03)3319-9221,,,
0000000001,120006,ちばアクアラインマラソン2022 マラソン,,,,,,「スポーツの振興」と「千葉県の魅力発信」を二本柱とした大会を開催し、多くの人たちに千葉県と東京湾アクアラインの魅力を知ってもらうことで、人や物の交流を基とした地域活性化を図る。さらに、これまで育んできた「おもてなしの心」と、東京オリンピック・パラリンピック開催により改めて認識された「スポーツの持つ力と価値」を、未来につないでいく大会とする。,,健康・福祉、スポーツ,https://www.pref.chiba.lg.jp/cate/kbs/taiiku/sports-event/index.html,,,,,2022-11-06,2022-11-06,09:50,,,,,,千葉県,,,,,,,千葉県、千葉県教育委員会,,,,12000,16500,,,,,"(1)一般枠
1インターネットによる申込みとする。
2募集期間は、2022(令和4)年3月25日(金)正午から5月9日(月)午後5時までと
する。
3定員を超える申込みがあった場合は、抽選で当選者を決定する。
(2)特別枠
1主催者が設定する記録を保持する者などの特別枠を設ける。
2詳細については、別に定める。",,,,教育振興部体育課ちばアクアラインマラソン準備室,(043)223-4112,,,"参加資格
(1)2004　(平成16)年4月1日以前に生まれた者で、制限時間内に完走できる者とする。
　(国内在住者に限る)
(2)車いすハーフマラソンは、レース仕様の車いすでの参加に限る。
(3)マ　ラ　ソ　ン　、　ハ　ー　フ　マ　ラ　ソ　ン　へ　の　参　加　希　望　者　で　、　単　独　走　行　が　困　難　な　障　害　のある　者　は　、　伴　走　者
(介護者)を帯同させることができる。ただし、伴走者は参加者で手配することとする。また、
盲導犬の伴走は不可とする。"
0000000002,120006,ちばアクアラインマラソン2022 ハーフマラソン,,,,,,「スポーツの振興」と「千葉県の魅力発信」を二本柱とした大会を開催し、多くの人たちに千葉県と東京湾アクアラインの魅力を知ってもらうことで、人や物の交流を基とした地域活性化を図る。さらに、これまで育んできた「おもてなしの心」と、東京オリンピック・パラリンピック開催により改めて認識された「スポーツの持つ力と価値」を、未来につないでいく大会とする。,,健康・福祉、スポーツ,https://www.pref.chiba.lg.jp/cate/kbs/taiiku/sports-event/index.html,,,,,2022-11-06,2022-11-06,09:50,,,,,,千葉県,,,,,,,千葉県、千葉県教育委員会,,,,5000,13500,,,,,"(1)一般枠
1インターネットによる申込みとする。
2募集期間は、2022(令和4)年3月25日(金)正午から5月9日(月)午後5時までと
する。
3定員を超える申込みがあった場合は、抽選で当選者を決定する。
(2)特別枠
1主催者が設定する記録を保持する者などの特別枠を設ける。
2詳細については、別に定める。",,,,教育振興部体育課ちばアクアラインマラソン準備室,(043)223-4112,,,"参加資格
(1)2004　(平成16)年4月1日以前に生まれた者で、制限時間内に完走できる者とする。
　(国内在住者に限る)
(2)車いすハーフマラソンは、レース仕様の車いすでの参加に限る。
(3)マ　ラ　ソ　ン　、　ハ　ー　フ　マ　ラ　ソ　ン　へ　の　参　加　希　望　者　で　、　単　独　走　行　が　困　難　な　障　害　のある　者　は　、　伴　走　者
(介護者)を帯同させることができる。ただし、伴走者は参加者で手配することとする。また、
盲導犬の伴走は不可とする。"
0000000003,120006,ちばアクアラインマラソン2022 車いすハーフマラソン,,,,,,「スポーツの振興」と「千葉県の魅力発信」を二本柱とした大会を開催し、多くの人たちに千葉県と東京湾アクアラインの魅力を知ってもらうことで、人や物の交流を基とした地域活性化を図る。さらに、これまで育んできた「おもてなしの心」と、東京オリンピック・パラリンピック開催により改めて認識された「スポーツの持つ力と価値」を、未来につないでいく大会とする。,,健康・福祉、スポーツ,https://www.pref.chiba.lg.jp/cate/kbs/taiiku/sports-event/index.html,,,,,2022-11-06,2022-11-06,09:45,,,,,,千葉県,,,,,,,千葉県、千葉県教育委員会,,,,10,13500,,,,,"(1)一般枠
1インターネットによる申込みとする。
2募集期間は、2022(令和4)年3月25日(金)正午から5月9日(月)午後5時までと
する。
3定員を超える申込みがあった場合は、抽選で当選者を決定する。
(2)特別枠
1主催者が設定する記録を保持する者などの特別枠を設ける。
2詳細については、別に定める。",,,,教育振興部体育課ちばアクアラインマラソン準備室,(043)223-4112,,,"参加資格
(1)2004　(平成16)年4月1日以前に生まれた者で、制限時間内に完走できる者とする。
　(国内在住者に限る)
(2)車いすハーフマラソンは、レース仕様の車いすでの参加に限る。
(3)マ　ラ　ソ　ン　、　ハ　ー　フ　マ　ラ　ソ　ン　へ　の　参　加　希　望　者　で　、　単　独　走　行　が　困　難　な　障　害　のある　者　は　、　伴　走　者
(介護者)を帯同させることができる。ただし、伴走者は参加者で手配することとする。また、
盲導犬の伴走は不可とする。"
0000000071,131172,春期企画展 幻想の江戸ー異文化のまなざしに映った他者・表象・言説ー(北区飛鳥山博物館),,,,,,"幕末に江戸とその郊外を訪れ、さまざまな記録を残した欧米人は思いのほか多く、確認するだけでも30人以上を数えます。これらの外国人が記した見聞記、旅行記などのトラベルライティングをひもとくと、往時は江戸の周縁地域であった飛鳥山・滝野川・王子稲荷への言及が多く見られ、また広がる景観への讃嘆や、地域の人びとに対する親愛感あふれる印象が書き残されています。
その一方で、ことばや文化を異にする他者が出会うとき、さながら鏡の中を互いに覗き込むかのように、他者の表象と自己への認識の交錯が露わになり、ときに眼差しの力学によっては、西欧列強によるコロニアリズムの表象が立ち現れることもあります。
本展は、このような文化表象に対する問いかけにもとづき、都市江戸の景物や北区地域の光景を中心に異文化に接触が、どのように絵画表象や言説としてイメージを形作っていったのかを改めて展望し、異文化交流の姿を展観するものです。展示を通して、前近代から近代へと変遷をとげた地域の姿を、みなさまとともに見つめなおす機会となれば幸いです。",,文化・芸術,http://www.city.kita.tokyo.jp/hakubutsukan/kouza/03nendo/syunnki.html,,,,,2022-03-23,2022-05-14,10:00,17:00,"長期企画展
開始日: 2022/3/23
終了日: 2022/5/14",,北区飛鳥山博物館　ホワイエ,,東京都,北区,王子,1-1-3,飛鳥山公園内,,,,,,,,,,,,,,,,,教育委員会事務局教育振興部飛鳥山博物館,(03)3916-1133,,,
0000000029,142077,体も心も心地よくなる!!ゆるゆるヨーガ,,,,,,ゆったりとした動きで　身体と心が軽くなっていきます。,,健康・福祉、スポーツ,https://www.city.chigasaki.kanagawa.jp/bunka_shogai/koza/1045954.html,,,,,2022-04-28,,10:30,11:30,,,ハマミーナまなびプラザ　体育室,,神奈川県,茅ヶ崎市,,,,,,,,,,20,500,,,,,メール　kmtrayk@gmail.com　、各回20名先着順,,,,フローライトヨーガ　亀鶴綾子さん(まなびの市民講師),,,,"おおむね60歳以上の女性、
動きやすい服装、水分補給できるもの"
0000000030,142077,初心者俳句講習会,,,,,,"俳句の基礎知識の講義、作句、選句、討論、懇談の中で技術を習得し、交流、親睦を深める。
年数回の吟行俳句大会を実施。",,文化・芸術,https://www.city.chigasaki.kanagawa.jp/bunka_shogai/koza/1045411.html,,,,,2022-05-19,,13:00,16:00,,,市民ギャラリー　創作室B・C,,神奈川県,茅ヶ崎市,,,,,,,,,,20,1000,年間,,,,電話、先着順20名,,,,清水呑舟さん(まなびの市民講師),(0467)86-3175,,,対象*一般(大人)、シニア。筆記用具、国語辞典、歳時記
0000000030,142077,初心者俳句講習会,,,,,,"俳句の基礎知識の講義、作句、選句、討論、懇談の中で技術を習得し、交流、親睦を深める。
年数回の吟行俳句大会を実施。",,文化・芸術,https://www.city.chigasaki.kanagawa.jp/bunka_shogai/koza/1045411.html,,,,,2022-06-16,,13:00,16:00,,,市民ギャラリー　創作室B・C,,神奈川県,茅ヶ崎市,,,,,,,,,,20,1000,年間,,,,電話、先着順20名,,,,清水呑舟さん(まなびの市民講師),(0467)86-3175,,,対象*一般(大人)、シニア。筆記用具、国語辞典、歳時記
0000000030,142077,初心者俳句講習会,,,,,,"俳句の基礎知識の講義、作句、選句、討論、懇談の中で技術を習得し、交流、親睦を深める。
年数回の吟行俳句大会を実施。",,文化・芸術,https://www.city.chigasaki.kanagawa.jp/bunka_shogai/koza/1045411.html,,,,,2022-07-21,,13:00,16:00,,,市民ギャラリー　創作室B・C,,神奈川県,茅ヶ崎市,,,,,,,,,,20,1000,年間,,,,電話、先着順20名,,,,清水呑舟さん(まなびの市民講師),(0467)86-3175,,,対象*一般(大人)、シニア。筆記用具、国語辞典、歳時記
0000000030,142077,初心者俳句講習会,,,,,,"俳句の基礎知識の講義、作句、選句、討論、懇談の中で技術を習得し、交流、親睦を深める。
年数回の吟行俳句大会を実施。",,文化・芸術,https://www.city.chigasaki.kanagawa.jp/bunka_shogai/koza/1045411.html,,,,,2022-08-18,,13:00,16:00,,,市民ギャラリー　創作室B・C,,神奈川県,茅ヶ崎市,,,,,,,,,,20,1000,年間,,,,電話、先着順20名,,,,清水呑舟さん(まなびの市民講師),(0467)86-3175,,,対象*一般(大人)、シニア。筆記用具、国語辞典、歳時記
