NO,都道府県コード又は市区町村コード,名称,名称(カナ),名称(英字),名称(通称),サブタイトル,概要,説明,サブイベント,イベント種類,URL,画像URL,状態,対象となる産業,ステージ,開始日,終了日,開始時刻,終了時刻,日時備考,場所名称,集合場所,郵便番号,住所都道府県,住所市区町村,住所町名,住所丁目以下,建物名等,緯度,経度,主催団体,共催団体,その他関係団体,対象者,定員,料金(基本),料金(詳細),外国語対応,申込期限日,申込期限時刻,申込方法,アクセス方法,駐車場情報,駐輪場情報,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,備考
0000000001,,第42回定期演奏会,,,,,,,,音楽,https://www.mod.go.jp/asdf/nadf/teikiennsoukai/index.html,,,,,2022-02-11,,,,,,北上市文化交流センターさくらホール(岩手県北上市),,北海道,,,,,,,,,,,,,,,2022-01-21,,,,,,北部航空音楽隊,,,,
0000000002,,自衛隊インターンシップ,,,,,,,,仕事・産業,https://www.mod.go.jp/pco/miyagi/images/4.1.7intern.pdf,,,,,2022-02-01,2022-02-08,,,,,仙台駐屯地(宮城県仙台市)朝霞駐屯地(埼玉県朝霞市)横須賀地方総監部(神奈川県横須賀市)松島基地(宮城県東松島市),,宮城県,,,,,,,,,,,,,,,2022-01-07,,,,,,宮城地方協力本部,,,,宮城県在住の大学生限定
0000000003,,音楽フェスティバル,,,,,,,,音楽,https://www.mod.go.jp/pco/ibaraki/img/festival.pdf,,,,,2022-02-23,,,,,,ザ・ヒロサワ・シティ会館(茨城県水戸市),,茨城県,,,,,,,,,,,,,,,,,,,,,茨城地方協力本部,,,,
0000000004,,第58回定期演奏会,,,,,,,,音楽,https://www.mod.go.jp/pco/saitama/event/img/event_20220205_01.png,,,,,2022-02-05,,,,,,すみだトリフォニーホール(東京都墨田区),,埼玉県,,,,,,,,,,,,,,,2022-01-10,,,,,,埼玉地方協力本部,,,,
0000000005,,令和3年度公務員合同職業説明会,,,,,,,,仕事・産業,https://www.mod.go.jp/pco/tokyo/setagaya/index.html,,,,,2022-02-11,,,,,,北沢区民会別館　梅丘パークホール(東京都世田谷区),,東京都,,,,,,,,,,,,,,,2022-01-10,,,,,,世田谷募集案内所,,,,
0000000006,,百里基地を見に行こう,,,,,,,,その他イベント,https://www.mod.go.jp/pco/tokyo/taitou/index.html#0202,,,,,2022-02-02,,,,,,百里基地(茨城県小美玉市),,東京都,,,,,,,,,,,,,,,2022-01-07,,,,,,台東出張所,,,,年齢制限
0000000007,,航空中央音楽隊 第58回定期演奏会,,,,,,,,音楽,https://www.mod.go.jp/asdf/acb/concertinfo/58th_annual.html,,,,,2022-02-05,,,,,,すみだトリフォニーホール(東京都墨田区),,東京都,,,,,,,,,,,,,,,2022-01-13,,,,,,航空中央音楽隊,,,,
0000000008,,北関東・南関東防衛局合同開催の防衛問題セミナー日本の宇宙開発,,,,,,,,セミナー,https://www.mod.go.jp/pco/kanagawa/kouho/event/3.12.2kanto/3.12.2utyuu.jpg,,,,,2022-01-29,,,,,,YouTube,,神奈川県,,,,,,,,,,,,,,,2022-01-26,,,,,,南関東防衛局北関東防衛局,,,,
0000000009,,公務員合同説明会in佐久市,,,,,,,,セミナー,https://www.mod.go.jp/pco/nagano/event/pdf/uedasyo2.pdf,,,,,2022-02-05,,,,,,佐久平交流センター2F(長野県佐久市),,長野県,,,,,,,,,,,,,,,,,,,,,上田地域事務所,,,,
0000000010,,公務員合同説明会in上田市,,,,,,,,セミナー,https://www.mod.go.jp/pco/nagano/event/pdf/uedasyo1.pdf,,,,,2022-02-11,,,,,,上田市勤労者福祉センター2F(長野県上田市),,長野県,,,,,,,,,,,,,,,,,,,,,上田地域事務所,,,,
0000000011,,防衛省南関東防衛局・北関東防衛局合同防衛問題セミナー日本の宇宙開発,,,,,,,,セミナー,https://www.mod.go.jp/pco/sizuoka/event/pdf/bouei_01.pdf,,,,,2022-01-29,,,,,,YouTube,,静岡県,,,,,,,,,,,,,,,2022-01-26,,,,,,南関東防衛局北関東防衛局,,,,
0000000012,,音の祭典2022「希望」~新たな世界の幕開け~,,,,,,,,催事・観光,https://www.mod.go.jp/gsdf/mae/10d/butai/sta/toyokawa/otonosaiten.html,,,,,2022-02-06,,,,,,豊川市文化会館(愛知県豊川市),,愛知県,,,,,,,,,,,,,,,2022-01-12,,,,,,豊川駐屯地,,,,
0000000013,,第56回定期演奏会,,,,,,,,音楽,https://www.mod.go.jp/msdf/maizuru/info/r4teiki.html,,,,,2022-02-06,,,,,,舞鶴市総合文化会館(京都府舞鶴市),,京都府,,,,,,,,,,,,,,,2022-01-10,,,,,,舞鶴地方隊,,,,
0000000014,,公務員合同職業説明会in西宮,,,,,,,,仕事・産業,https://www.mod.go.jp/pco/hyogo/want/img/nisinomiya.jpg,,,,,2022-02-13,,,,,,西宮市市民交流センター(兵庫県西宮市),,兵庫県,,,,,,,,,,,,,,,,,,,,,西宮地域事務所,,,,
