NO,都道府県コード又は市区町村コード,名称,名称(カナ),名称(英字),名称(通称),サブタイトル,概要,説明,サブイベント,イベント種類,URL,画像URL,状態,対象となる産業,ステージ,開始日,終了日,開始時刻,終了時刻,日時備考,場所名称,集合場所,郵便番号,住所都道府県,住所市区町村,住所町名,住所丁目以下,建物名等,緯度,経度,主催団体,共催団体,その他関係団体,対象者,定員,料金(基本),料金(詳細),外国語対応,申込期限日,申込期限時刻,申込方法,アクセス方法,駐車場情報,駐輪場情報,連絡先名称,連絡先電話番号,連絡先内線番号,連絡先メールアドレス,備考
0000000001,282090,近畿高校スキー選手権大会,,,,,,近畿エリアから高校選手が集合するスキー大会。,,健康・福祉、スポーツ,,,,,,2022-01-24,2022-01-25,,,,,奥神鍋・万場スキー場,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,日高神鍋観光協会,(0796)45-0800,,,
0000000002,282090,豊岡市工業会 設立10周年記念式典,,,,,,特別講演のほか、交流会を予定。,,催事・観光,,,,,,2022-01-28,,14:30,,,,アールベルアンジェ豊岡,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,豊岡市工業会事務局(環境経済課内),(0796)21-9024,,,
0000000003,282090,園田学園女子大学スポーツクリニック「ベースボール型ゲームボール遊びをしよう!」,,,,,,講師は園田学園女子大学ソフトボール部。対象は5歳児から小学生まで。ボール遊びを通じて、野球やソフトボールを始めるきっかけづくりをする。,,健康・福祉、スポーツ,,,,,,2022-01-29,,13:00,15:00,,,全但バス但馬ドーム　ドーム棟グラウンド,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,全但バス但馬ドーム,(0796)45-1900,,,
0000000004,282090,人権 音楽とお話のつどい,,,,,,"音楽家　前川裕美さんによるトーク&コンサート
「夢見る力を信じて?ともに生きる未来へ?」",,音楽,,,,,,2022-01-29,,13:00,15:00,,,豊岡市民プラザ　ほっとステージ,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,生涯学習課,(0796)23-0341,,,
0000000005,282090,第30回出石高校卒業制作展,,,,,,出石高校文化創造類型3年生による卒業制作展。高校生自身が展覧会の広報・企画・展示を行う。また、生徒によるギャラリートークを実施する。,,子育て・教育,,,,,,2022-01-29,2022-02-06,09:30,,,,市立美術館「伊藤清永記念館」,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,市立美術館「伊藤清永記念館」,(0796)52-5456,,,
0000000006,282090,園田学園女子大学スポーツクリニック「ソフトボールクリニック」,,,,,,講師は園田学園女子大学ソフトボール部。対象は中・高校生。クラス別・守備別に指導。,,健康・福祉、スポーツ,,,,,,2022-01-30,,09:00,15:00,"?3月初旬の土・曜日、祝日
開始日: 2022/1/30
開始時刻: 9:00",,全但バス但馬ドーム　ドーム棟グラウンド,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,全但バス但馬ドーム,(0796)45-1900,,,
0000000007,282090,神鍋高原スキー&スノボ体験教室,,,,,,小学生を対象に、レベルに応じたレッスンをお得に開催。全但バスとのコラボで、スキー場までの送迎やレンタルを手伝うメニューもあり。,,健康・福祉、スポーツ,,,,,,,,,,1月中旬?3月初旬の土日、祝日,,万場・アップかんなべ、奥神鍋スキー場,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,日高神鍋観光協会,(0796)45-0800,,,
0000000008,282090,舞台技術スタッフ養成講座(冬季),,,,,,舞台技術スタッフに興味がある方向けの舞台、照明、音響の講座。,,セミナー,,,,,,,,,,1月?3月,,豊岡市民プラザ　ほっとステージ,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,豊岡市民プラザ,(0796)24-3000,,,
0000000009,282090,開館25周年記念特別展 「~はしもとみおの木彫り~くらしといきもの展」,,,,,,はしもとみお氏は、身の回りの動物たちをモチーフに木彫り作品を生み出す彫刻家として、国際的に活躍中の作家。本展では、私たちのくらしに家族の一員として寄り添う犬や猫などをはじめ、ヤギやヒツジなどの木彫り動物も「くらしといきもの」をテーマに博物館に大集合する。,,催事・観光,,,,,,,2022-02-01,,,,,日本・モンゴル民族博物館,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,日本・モンゴル民族博物館,(0796)56-1000,,,
0000000010,282090,但馬ドームセンター棟ギャラリー 「西岡正明絵画展2」,,,,,,豊岡市日高町在住の西岡正明さんによる絵画作品展,,催事・観光,,,,,,,2022-02-13,,,,,全但バス但馬ドーム　センター棟ギャラリー,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,全但バス但馬ドーム,(0796)45-1900,,,
0000000011,282090,第12回特別展 「錦絵の世界」,,,,,,当館所蔵資料や他館から借用した資料を展示し、色彩豊かな錦絵の世界を、その時代背景とともに紹介する。,,文化・芸術,,,,,,,2022-04-26,,,,,歴史博物館「但馬国府・国分寺館」　企画展示室,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,歴史博物館「但馬国府・国分寺館」,(0796)42-6111,,,
0000000012,282090,第42回ミニ企画展 「妖怪を見てみようかい」,,,,,,掛軸等に描かれた河童等の絵を題材に、日本古来から伝わる妖怪文化を紹介する。,,催事・観光,,,,,,,2022-04-26,,,,,歴史博物館「但馬国府・国分寺館」　総合学習室,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,歴史博物館「但馬国府・国分寺館」,(0796)42-6111,,,
0000000013,282090,大駱駝艦・田村一行舞踏公演 舞踏但馬風土記 幽暗ノ章「水に浮いたひょうたん」【公演クリエイション】,,,,,,舞踏集団「大駱駝艦」田村一行氏による舞踏ワークショップと市民参加公演。,,文化・芸術,,,,,,2022-02-04,2022-02-13,,,,,豊岡市民プラザ　ほっとステージ,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,豊岡市民プラザ,(0796)24-3000,,,
0000000013,282090,大駱駝艦・田村一行舞踏公演 舞踏但馬風土記 幽暗ノ章「水に浮いたひょうたん」【本番】,,,,,,舞踏集団「大駱駝艦」田村一行氏による舞踏ワークショップと市民参加公演。,,文化・芸術,,,,,,2022-02-13,,14:00,,,,豊岡市民プラザ　ほっとステージ,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,豊岡市民プラザ,(0796)24-3000,,,
0000000013,282090,大駱駝艦・田村一行舞踏公演 舞踏但馬風土記 幽暗ノ章「水に浮いたひょうたん」【舞踏体験ワークショップ】,,,,,,舞踏集団「大駱駝艦」田村一行氏による舞踏ワークショップと市民参加公演。,,文化・芸術,,,,,,2022-02-06,,10:00,12:00,,,豊岡市民プラザ　ほっとステージ,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,豊岡市民プラザ,(0796)24-3000,,,
0000000014,282090,冬の里山で遊ぼう,,,,,,雪遊びや里山探検,,子育て・教育,,,,,,2022-02-06,,13:00,15:00,,,郷公園内,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,コウノトリ文化館,(0796)23-7750,,,
0000000015,282090,豊岡市民会館音楽レクチャー,,,,,,合唱・金管楽器・打楽器の基礎知識から実践までをプロの演奏家から学ぶ。講師は南出信一さん(打楽器)、百合花さん(合唱)、上垣康則さん(金管楽器),,音楽,,,,,,2022-02-06,,13:00,16:00,,,市民会館　文化ホール,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,市民会館,(0796)23-0255,,,
0000000016,282090,ウェルストーク豊岡新春無料開放DAY,,,,,,豊岡市民限定施設無料開放日、体力測定会、プール&スタジオ特別レッスン他,,健康・福祉、スポーツ,,,,,,2022-02-11,,,,,,ウェルストーク豊岡,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,ウェルストーク豊岡,(0796)24-0582,,,
0000000017,282090,身近に咲く季節の花を感じて ハーバリウム教室,,,,,,季節を代表する花を使ったあなただけのオリジナルハーバリウム。大人にも子どもにも大人気の講座。今冬はお正月飾りやバレンタインデーをイメージしたアレンジにも挑戦する。,,生活と環境,,,,,,2022-02-11,,,,,,日本・モンゴル民族博物館,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,日本・モンゴル民族博物館,(0796)56-1000,,,
0000000018,282090,バレンタインピアノコンサート 午前の部,,,,,,コンサートホールピアノ?スタインウェイ″を使用した演奏会。大切な人へ想いを伝える参加型コンサート。※6回目,,音楽,,,,,,2022-02-13,,10:00,12:00,,,市民会館　文化ホール,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,市民会館,(0796)23-0255,,,
0000000018,282090,バレンタインピアノコンサート 午後の部,,,,,,コンサートホールピアノ?スタインウェイ″を使用した演奏会。大切な人へ想いを伝える参加型コンサート。※6回目,,音楽,,,,,,2022-02-13,,13:30,15:30,,,市民会館　文化ホール,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,市民会館,(0796)23-0255,,,
0000000019,282090,コウノトリを見に行こう,,,,,,コウノトリ繁殖巣塔周辺を巡回ガイド,,催事・観光,,,,,,2022-02-13,,13:00,15:00,,,豊岡盆地周辺,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,コウノトリ文化館,(0796)23-7750,,,
0000000020,282090,としょかん映画会,,,,,,「あなたのママになるために」　(2015年/111分),,子育て・教育,,,,,,2022-02-18,2022-02-19,,,,,図書館本館　視聴覚・講演室,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,図書館本館,(0796)23-6151,,,
0000000021,282090,第7回豊岡地域クラウド交流会,,,,,,起業家への応援を通じて地域を活性化させるイベント「地域クラウド交流会」を開催する。,,仕事・産業,,,,,,2022-02-19,,14:00,17:00,,,豊岡市民プラザ　ほっとステージ,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,但馬信用金庫事業支援部,(0796)23-1200,,,
0000000022,282090,リサイクルブックフェア,,,,,,保存期限を経過した雑誌・不要となった本を無料で提供,,生活と環境,,,,,,2022-02-19,2022-02-20,10:00,,,,城崎庁舎2階　大会議室,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,図書館城崎分館,(0796)21-9072,,,
0000000023,282090,地元で博物館1 「ふるさとの宝ものー港地区の文化遺産ー」,,,,,,港地区の文化遺産を紹介する,,文化・芸術,,,,,,2022-02-19,2022-03-27,,,,,港地区コミュニティセンター,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,歴史博物館「但馬国府・国分寺館」,(0796)42-6111,,,
0000000024,282090,田んぼの学校,,,,,,冬の田んぼでアカガエルの卵探し,,子育て・教育,,,,,,2022-02-20,,09:30,12:00,,,コウノトリ文化館周辺,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,コウノトリ文化館,(0796)23-7750,,,
0000000025,282090,植物観察会,,,,,,冬の植物を観察,,生活と環境,,,,,,2022-02-27,,13:00,15:00,,,郷公園内、豊岡盆地周辺,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,コウノトリ文化館,(0796)23-7750,,,
0000000026,282090,きゅうかくうしお 新作クリエーション 地域交流プログラム,,,,,,辻本知彦と森山未來を軸に構成されるパフォーマンスユニット「きゅうかくうしお」による新作の成果発表。,,文化・芸術,,,,,,,,,,2月初旬,,城崎国際アートセンター,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,城崎国際アートセンター,(0796)32-3888,,,
0000000027,282090,Crossing the sea提携プログラム: ジネーヴラ・パンチェッティ & エンリコ・ティッコーニ 新作クリエーション 地域交流プログラム,,,,,,イタリアのアーティスト海外派遣プロジェクト「Crossing　the　sea」との提携プログラム。ベルリンとトリノを拠点としデュオとして活動するGinevra　Panzetti　and　Enrico　Ticconiによるダンス作品の成果発表。,,文化・芸術,,,,,,,,,,2月下旬,,城崎国際アートセンター,,兵庫県,豊岡市,,,,,,,,,,,,,,,,,,,,城崎国際アートセンター,(0796)32-3888,,,
